orange, blanc, skin, shortBart, lisaDress, homerBeard, homerPants, homerShoes, personnage 
0.050049,0.376652,0.094563,0.031839,0.000000,0.000000,0.000000,0.004345,Bart
0.195454,0.396955,0.205683,0.000000,0.000000,0.000000,0.000000,0.002881,Bart
0.118873,0.452814,0.215992,0.068667,0.000912,0.000000,0.000000,0.025059,Bart
0.057388,0.567769,0.139040,0.033989,0.000000,0.000000,0.000000,0.004937,Bart
0.051262,0.552856,0.203681,0.071128,0.000000,0.000000,0.000000,0.015701,Bart
0.046582,0.673078,0.087573,0.038799,0.031630,0.024528,0.000000,0.004388,Bart
0.007217,0.415941,0.019146,0.007372,0.000000,0.000000,0.000000,0.029106,Bart
0.171644,0.373430,0.193469,0.000000,0.000000,0.000000,0.000000,0.005599,Bart
0.000000,0.727785,0.099090,0.000000,0.000000,0.000000,0.000000,0.009852,Bart
0.020873,0.687004,0.066555,0.003311,0.000467,0.002564,0.000000,0.036857,Bart
0.000000,0.565512,0.285455,0.000000,0.000000,0.000000,0.000000,0.006732,Bart
0.082565,0.535997,0.180144,0.000000,0.000000,0.000000,0.000095,0.010019,Bart
0.000000,0.575232,0.261187,0.000000,0.000000,0.000000,0.000000,0.006485,Bart
0.083758,0.494662,0.179545,0.075673,0.000000,0.000000,0.000000,0.018421,Bart
0.060858,0.563981,0.110835,0.009989,0.000000,0.000000,0.000000,0.014747,Bart
0.020542,0.622663,0.055021,0.014801,0.000191,0.000000,0.002102,0.022032,Bart
0.063113,0.619929,0.120512,0.000000,0.000593,0.000000,0.000000,0.015724,Bart
0.083480,0.498305,0.233018,0.082382,0.000200,0.000000,0.000000,0.011844,Bart
0.000000,0.540415,0.168256,0.000000,0.002341,0.000000,0.000000,0.012850,Bart
0.099285,0.454793,0.246839,0.000000,0.000000,0.000000,0.000000,0.008543,Bart
0.000000,0.602995,0.127825,0.028873,0.067946,0.000000,0.000180,0.014728,Bart
0.000000,0.531059,0.260876,0.000000,0.000000,0.000000,0.000128,0.014180,Bart
0.053562,0.625889,0.108228,0.043257,0.000000,0.000000,0.000000,0.011301,Bart
0.076310,0.632957,0.122033,0.054379,0.002053,0.000846,0.024225,0.021011,Bart
0.000000,0.474578,0.149070,0.140486,0.001012,0.000000,0.000000,0.014429,Bart
0.000000,0.437390,0.169942,0.000000,0.037235,0.044693,0.000000,0.007598,Bart
0.034515,0.618982,0.116847,0.038080,0.000000,0.000000,0.000004,0.019413,Bart
0.000000,0.584025,0.158527,0.030840,0.000000,0.000028,0.000000,0.019887,Bart
0.013334,0.534145,0.078067,0.013828,0.002754,0.000000,0.000000,0.015515,Bart
0.030170,0.473709,0.146846,0.022241,0.000720,0.000168,0.000107,0.004846,Bart
0.101545,0.543646,0.293179,0.000000,0.000000,0.000029,0.000000,0.005497,Bart
0.000000,0.325103,0.214073,0.000000,0.000000,0.000067,0.000000,0.002818,Bart
0.044426,0.676685,0.068924,0.015518,0.000000,0.000000,0.000000,0.000963,Bart
0.086672,0.631277,0.152815,0.039218,0.000000,0.000067,0.000000,0.001252,Bart
0.081136,0.525472,0.164400,0.058222,0.000000,0.000000,0.000000,0.003615,Bart
0.062424,0.462286,0.192552,0.000000,0.000000,0.000000,0.000000,0.005759,Bart
0.000000,0.538814,0.030526,0.148572,0.000000,0.000000,0.000000,0.079495,Bart
0.000000,0.718447,0.108123,0.017732,0.000684,0.000016,0.000257,0.071696,Bart
0.000009,0.550366,0.084790,0.000000,0.000000,0.000000,0.000000,0.012318,Bart
0.000000,0.437390,0.169942,0.000000,0.037235,0.044693,0.000000,0.007598,Bart
0.000000,0.659870,0.092241,0.000000,0.000000,0.000000,0.027944,0.007944,Bart
0.024932,0.636416,0.038990,0.008543,0.000000,0.000000,0.000000,0.001741,Bart
0.000000,0.646341,0.110730,0.000000,0.000000,0.000000,0.000000,0.042115,Bart
0.083862,0.456667,0.171887,0.057337,0.000000,0.000970,0.000000,0.006314,Bart
0.000000,0.125144,0.090889,0.000000,0.000000,0.000066,0.000000,0.026426,Bart
0.000647,0.343170,0.196987,0.000000,0.000000,0.000045,0.000000,0.006116,Bart
0.000000,0.341311,0.080742,0.000000,0.000000,0.000000,0.000000,0.014993,Bart
0.000000,0.392091,0.000000,0.000000,0.000000,0.000276,0.000000,0.005786,Bart
0.101545,0.543646,0.293179,0.000000,0.000000,0.000029,0.000000,0.005497,Bart
0.119016,0.541531,0.233587,0.004370,0.000000,0.000000,0.000000,0.001358,Bart
0.024231,0.548441,0.112710,0.000000,0.000000,0.000000,0.000000,0.012197,Bart
0.000000,0.595314,0.315144,0.000000,0.000000,0.000000,0.000000,0.010051,Bart
0.000000,0.518275,0.000000,0.000000,0.000000,0.000071,0.000000,0.064308,Bart
0.000000,0.503381,0.241851,0.000000,0.000000,0.000490,0.000000,0.013339,Bart
0.129648,0.586406,0.048457,0.009971,0.000000,0.000000,0.000000,0.042306,Bart
0.036958,0.655825,0.077190,0.000000,0.000000,0.000000,0.000000,0.042388,Bart
0.001781,0.744966,0.051751,0.000000,0.000308,0.003853,0.000000,0.007074,Bart
0.041586,0.689883,0.084153,0.010720,0.000000,0.000000,0.000000,0.014550,Bart
0.005407,0.485802,0.096099,0.000691,0.000000,0.000000,0.000000,0.014321,Bart
0.072861,0.592923,0.182299,0.053627,0.001474,0.000000,0.000000,0.015148,Bart
0.121242,0.453847,0.276037,0.000000,0.000000,0.000000,0.000000,0.004092,Bart
0.080905,0.522160,0.127471,0.000000,0.001043,0.000000,0.000000,0.022866,Bart
0.020188,0.518648,0.132089,0.000000,0.000354,0.001030,0.000000,0.033618,Bart
0.084743,0.593147,0.170385,0.055981,0.000000,0.000000,0.000000,0.003570,Bart
0.000000,0.527816,0.123474,0.000000,0.000000,0.000000,0.000501,0.015273,Bart
0.034608,0.490649,0.249654,0.000000,0.001460,0.079779,0.000000,0.050366,Bart
0.104294,0.368596,0.255405,0.000000,0.002354,0.000000,0.000000,0.018699,Bart
0.000000,0.588018,0.226578,0.000000,0.004536,0.000000,0.000000,0.035713,Bart
0.042457,0.532287,0.160749,0.000000,0.046471,0.000054,0.000000,0.009213,Bart
0.082290,0.511439,0.194944,0.000069,0.000000,0.005500,0.000000,0.022277,Bart
0.000000,0.573370,0.000000,0.000000,0.000000,0.000000,0.000000,0.012732,Bart
0.000000,0.456530,0.426840,0.000000,0.021786,0.000000,0.000000,0.004783,Lisa
0.000000,0.478316,0.245474,0.000000,0.091526,0.000000,0.000000,0.000000,Lisa
0.000000,0.568196,0.083308,0.000000,0.045310,0.000000,0.000000,0.002643,Lisa
0.000000,0.431624,0.135067,0.000000,0.025757,0.000000,0.000000,0.022336,Lisa
0.000000,0.503899,0.191718,0.000000,0.083274,0.000000,0.000000,0.004673,Lisa
0.000000,0.635814,0.175951,0.000000,0.090359,0.000000,0.000000,0.002506,Lisa
0.000000,0.614914,0.127158,0.000000,0.062124,0.000000,0.000000,0.007653,Lisa
0.023809,0.583297,0.172302,0.032388,0.037526,0.000000,0.000425,0.013410,Lisa
0.000000,0.502500,0.115329,0.000000,0.069342,0.000000,0.000000,0.017697,Lisa
0.000000,0.619606,0.066878,0.005214,0.045560,0.000000,0.000000,0.010043,Lisa
0.000000,0.493093,0.170730,0.000000,0.061050,0.000000,0.000000,0.004948,Lisa
0.000000,0.590964,0.119791,0.000000,0.015403,0.000000,0.000000,0.017071,Lisa
0.000000,0.540736,0.204059,0.000000,0.011964,0.000000,0.000000,0.003904,Lisa
0.015519,0.665928,0.078648,0.000000,0.022040,0.002992,0.000000,0.008459,Lisa
0.000000,0.477427,0.212514,0.000000,0.097159,0.000000,0.000000,0.009827,Lisa
0.000000,0.632469,0.208746,0.000000,0.018944,0.000000,0.000000,0.005035,Lisa
0.000000,0.559964,0.227101,0.000000,0.072399,0.000000,0.000000,0.002450,Lisa
0.000045,0.746685,0.094235,0.000000,0.040830,0.000373,0.000000,0.000343,Lisa
0.012001,0.517933,0.107822,0.000000,0.028324,0.000878,0.000551,0.008299,Lisa
0.000000,0.459000,0.247086,0.000000,0.061279,0.000000,0.000000,0.002176,Lisa
0.000000,0.568886,0.206245,0.000000,0.087024,0.000000,0.000000,0.005536,Lisa
0.000000,0.551163,0.197046,0.000000,0.111502,0.000000,0.000000,0.006631,Lisa
0.000000,0.668349,0.117064,0.000000,0.063105,0.000000,0.000000,0.011403,Lisa
0.000000,0.485200,0.195959,0.000000,0.069639,0.000000,0.000000,0.016274,Lisa
0.000000,0.478268,0.326463,0.000000,0.000000,0.000000,0.000000,0.006558,Lisa
0.000000,0.519274,0.365272,0.000000,0.004727,0.000115,0.000000,0.016911,Lisa
0.000000,0.419983,0.307230,0.000000,0.146247,0.000000,0.000000,0.007571,Lisa
0.000000,0.665345,0.072073,0.000000,0.000000,0.000000,0.000000,0.015089,Lisa
0.000000,0.509985,0.308512,0.000000,0.000000,0.000000,0.000000,0.009471,Lisa
0.000000,0.644796,0.094897,0.000000,0.050947,0.000000,0.000000,0.022164,Lisa
0.000000,0.528518,0.090909,0.000000,0.036183,0.000359,0.000000,0.019184,Lisa
0.000000,0.564503,0.237289,0.000000,0.106198,0.000031,0.000000,0.008206,Lisa
0.000000,0.473823,0.302304,0.000000,0.107457,0.000000,0.000000,0.008072,Lisa
